cited_articletitle,cited_year,cited_journal,citing_articletitle,citing_year,citing_journal
"COVID-19 and Palliative, End of Life and Bereavement Care in Secondary Care Role of the specialty and guidance to aid care",2020,,End-of-life decisions and care in the midst of a global coronavirus (COVID-19) pandemic,2020,Intensive and Critical Care Nursing
Long-term association between frailty and health-related quality of life among survivors of critical illness: a prospective multicenter cohort study,2015,Crit. Care Med,End-of-life decisions and care in the midst of a global coronavirus (COVID-19) pandemic,2020,Intensive and Critical Care Nursing
Development of a triage protocol for critical care during an influenza pandemic,2006,CMAJ,End-of-life decisions and care in the midst of a global coronavirus (COVID-19) pandemic,2020,Intensive and Critical Care Nursing
A survey of moral distress in staff working in intensive care in the UK,2019,J. Intensive Care Soc,End-of-life decisions and care in the midst of a global coronavirus (COVID-19) pandemic,2020,Intensive and Critical Care Nursing
Triage during pandemic influenza: seeking absolution in numbers,2015,BJA: Br. J. Anaesth,End-of-life decisions and care in the midst of a global coronavirus (COVID-19) pandemic,2020,Intensive and Critical Care Nursing
Quality of life in the five years after intensive care: a cohort study,2010,Crit. Care,End-of-life decisions and care in the midst of a global coronavirus (COVID-19) pandemic,2020,Intensive and Critical Care Nursing
Long-term complications of critical care,2011,Crit. Care Med,End-of-life decisions and care in the midst of a global coronavirus (COVID-19) pandemic,2020,Intensive and Critical Care Nursing
Associated Medical Services Inc. Educational Fellows in Care at the End of Life,2010,J. Pain Sympt. Manage,End-of-life decisions and care in the midst of a global coronavirus (COVID-19) pandemic,2020,Intensive and Critical Care Nursing
"Care at the end of life: a guide to best practice, discussions and decision-making in and around critical care",2019,FICM,End-of-life decisions and care in the midst of a global coronavirus (COVID-19) pandemic,2020,Intensive and Critical Care Nursing
Molecular evolution of human coronavirus genomes,2017,Trends Microbiol,Pangolins Harbor SARS-CoV-2-related Coronaviruses,2020,Trends in Microbiology
"Qualitative convergence of three nursing concepts: art of nursing, presence and caring",2008,J. Adv. Nurs,End-of-life decisions and care in the midst of a global coronavirus (COVID-19) pandemic,2020,Intensive and Critical Care Nursing
The impact of frailty on ICU and 30-day mortality and the level of care in very elderly patients (80 years),2017,Intensive Care Med,End-of-life decisions and care in the midst of a global coronavirus (COVID-19) pandemic,2020,Intensive and Critical Care Nursing
The impact of the COVID-313,2020,,Guidelines for dental care provision during the COVID-19 pandemic,2020,The Saudi Dental Journal
Probable Pangolin Origin of SARS-CoV-2 Associated with the COVID-19 Outbreak,2020,Current Biology,Probable Pangolin Origin of SARS-CoV-2 Associated with the COVID-19 Outbreak,2020,Current Biology
Prevalence and determinants of complicated grief in general population,2010,J. Affect. Disord,End-of-life decisions and care in the midst of a global coronavirus (COVID-19) pandemic,2020,Intensive and Critical Care Nursing
Non-verbal behavior in clinician-patient interaction,1995,Appl. Prev. Psychol,End-of-life decisions and care in the midst of a global coronavirus (COVID-19) pandemic,2020,Intensive and Critical Care Nursing
Report on 775 patients critically ill with COVID-19,2020,,End-of-life decisions and care in the midst of a global coronavirus (COVID-19) pandemic,2020,Intensive and Critical Care Nursing
"Key statistics from the case mix programme-adult, general critical care units",2019,,End-of-life decisions and care in the midst of a global coronavirus (COVID-19) pandemic,2020,Intensive and Critical Care Nursing
Long-term cognitive impairment and functional disability among survivors of severe sepsis,2010,JAMA -J. Am. Med. Assoc,End-of-life decisions and care in the midst of a global coronavirus (COVID-19) pandemic,2020,Intensive and Critical Care Nursing
"Johns Hopkins Coronavirus Resource Centre, 2020. Coronavirus COVID-19 Global Cases by the Center for Systems Science and Engineering (CSSE) at Johns Hopkins",,,End-of-life decisions and care in the midst of a global coronavirus (COVID-19) pandemic,2020,Intensive and Critical Care Nursing
Preparing intensive care for the next pandemic influenza,2019,Crit. Care,End-of-life decisions and care in the midst of a global coronavirus (COVID-19) pandemic,2020,Intensive and Critical Care Nursing
Complicated grief after death of a relative in the intensive care unit,2015,Eur. Respir. J,End-of-life decisions and care in the midst of a global coronavirus (COVID-19) pandemic,2020,Intensive and Critical Care Nursing
ICU-acquired weakness and recovery from critical illness,2014,N Engl J Med,End-of-life decisions and care in the midst of a global coronavirus (COVID-19) pandemic,2020,Intensive and Critical Care Nursing
On Grief and Grieving: Finding the Meaning of Grief Through the Five Stages of Loss,2005,,End-of-life decisions and care in the midst of a global coronavirus (COVID-19) pandemic,2020,Intensive and Critical Care Nursing
Prevalence of prolonged grief disorder in adult bereavement: a systematic review and meta-analysis,2017,J. Affect. Disord,End-of-life decisions and care in the midst of a global coronavirus (COVID-19) pandemic,2020,Intensive and Critical Care Nursing
Prolonged grief and the disruption of meaning: Establishing a mediation model,2019,J. Couns. Psychol,End-of-life decisions and care in the midst of a global coronavirus (COVID-19) pandemic,2020,Intensive and Critical Care Nursing
The impact of frailty on intensive care unit outcomes: a systematic review and meta-analysis,2017,Intensive Care Med,End-of-life decisions and care in the midst of a global coronavirus (COVID-19) pandemic,2020,Intensive and Critical Care Nursing
COVID 19: Rapid Guidance for Critical Care Accessed 22,2020,,End-of-life decisions and care in the midst of a global coronavirus (COVID-19) pandemic,2020,Intensive and Critical Care Nursing
Making sense of the meaning literature: an integrative review of meaning making and its effects on adjustment to stressful life events,2010,Psychol. Bull,End-of-life decisions and care in the midst of a global coronavirus (COVID-19) pandemic,2020,Intensive and Critical Care Nursing
End-of-life care in critical care: moving forward to enhance patient and family experiences,2016,Intensive Crit. Care Nurs,End-of-life decisions and care in the midst of a global coronavirus (COVID-19) pandemic,2020,Intensive and Critical Care Nursing
"Viewing in slow motion': patients', families', nurses' and doctors' perspectives on end-of-life care in critical care",2013,J. Clin. Nurs,End-of-life decisions and care in the midst of a global coronavirus (COVID-19) pandemic,2020,Intensive and Critical Care Nursing
Reverse triage: more than just another method,2016,Eur. J. Emerg. Med,End-of-life decisions and care in the midst of a global coronavirus (COVID-19) pandemic,2020,Intensive and Critical Care Nursing
"Burnout Syndrome in UK Intensive Care Unit staff: data from all three Burnout Syndrome domains and across professional groups, genders and ages",2019,J. Intensive Care Soc,End-of-life decisions and care in the midst of a global coronavirus (COVID-19) pandemic,2020,Intensive and Critical Care Nursing
Intrusive memories of hallucinations and delusions in traumatized intensive care patients: an interview study,2015,Br. J. Health Psychol,End-of-life decisions and care in the midst of a global coronavirus (COVID-19) pandemic,2020,Intensive and Critical Care Nursing
Naming the coronavirus disease (COVID-19) and the virus that causes it Accessed 22,2020,,End-of-life decisions and care in the midst of a global coronavirus (COVID-19) pandemic,2020,Intensive and Critical Care Nursing
Prevalence of comorbidities in the novel Wuhan coronavirus (COVID-19) infection: a systematic review and metaanalysis,2020,Int. J. Infect. Dis. Mar,End-of-life decisions and care in the midst of a global coronavirus (COVID-19) pandemic,2020,Intensive and Critical Care Nursing
Coronavirus: Chelsea Flower Show plants donated to Derriford Hospital,2020,,End-of-life decisions and care in the midst of a global coronavirus (COVID-19) pandemic,2020,Intensive and Critical Care Nursing
A pneumonia outbreak associated with a new coronavirus of probable bat origin,2020,Nature,Pangolins Harbor SARS-CoV-2-related Coronaviruses,2020,Trends in Microbiology
A new coronavirus associated with human respiratory disease in China,2020,Nature,Pangolins Harbor SARS-CoV-2-related Coronaviruses,2020,Trends in Microbiology
Identifying SARS-CoV-2 related coronaviruses in Malayan pangolins,2020,Nature,Pangolins Harbor SARS-CoV-2-related Coronaviruses,2020,Trends in Microbiology
Evidence of recombination in coronaviruses implicating pangolin origins of nCoV-2019,2020,,Pangolins Harbor SARS-CoV-2-related Coronaviruses,2020,Trends in Microbiology
Isolation and Characterization of 2019-nCoV-like Coronavirus from Malayan Pangolins,2020,,Pangolins Harbor SARS-CoV-2-related Coronaviruses,2020,Trends in Microbiology
"Single-cell RNA expression profiling of ACE2, the putative receptor of Wuhan 2019-nCov",,BioRxiv,Guillain Barre syndrome associated with COVID-19 infection: a case report,2020,Journal of Clinical Neuroscience
Updated understanding of the outbreak of 2019 novel coronavirus (2019-nCoV) in Wuhan,2020,China. Journal of medical virology,Guillain Barre syndrome associated with COVID-19 infection: a case report,2020,Journal of Clinical Neuroscience
"Epidemiological and clinical characteristics of 99 cases of 2019 novel coronavirus pneumonia in Wuhan, China: a descriptive study",2020,The Lancet,Guillain Barre syndrome associated with COVID-19 infection: a case report,2020,Journal of Clinical Neuroscience
"Clinical features of patients infected with 2019 novel coronavirus in Wuhan, China",2020,Lancet Lond Engl,Guillain Barre syndrome associated with COVID-19 infection: a case report,2020,Journal of Clinical Neuroscience
Analysis of clinical features of 29 patients with 2019 novel coronavirus pneumonia,,Zhonghua Jie He He Hu Xi Za Zhi,Guillain Barre syndrome associated with COVID-19 infection: a case report,2020,Journal of Clinical Neuroscience
Population incidence of Guillain-Barré syndrome: a systematic review and meta-analysis,2011,Neuroepidemiology,Guillain Barre syndrome associated with COVID-19 infection: a case report,2020,Journal of Clinical Neuroscience
History of vaccination,2014,Proc. Natl. Acad. Sci. U. S. A,Improving vaccine-induced immunity: Can Baseline Predict Outcome?,2020,Trends in Immunology
Outbreak of Pneumonia of Unknown Etiology in Wuhan China: the Mystery and the Miracle,2020,J. Med. Virol,Guillain Barre syndrome associated with COVID-19 infection: a case report,2020,Journal of Clinical Neuroscience
Clinical Characteristics of 138 Hospitalized Patients With 2019 Novel Coronavirus-Infected Pneumonia in Wuhan,,,Guillain Barre syndrome associated with COVID-19 infection: a case report,2020,Journal of Clinical Neuroscience
"Neurological Manifestations of Hospitalized Patients with COVID-19 in Wuhan, China: A Retrospective Case Series Study",2020,,Guillain Barre syndrome associated with COVID-19 infection: a case report,2020,Journal of Clinical Neuroscience
The spectrum of antecedent infections in Guillain-Barré syndrome: a case-control study,1998,Neurology,Guillain Barre syndrome associated with COVID-19 infection: a case report,2020,Journal of Clinical Neuroscience
Novel Coronavirus (COVID-Outbreak: A Review of the Current Literature,2020,EJMO,Guillain Barre syndrome associated with COVID-19 infection: a case report,2020,Journal of Clinical Neuroscience
WHO. report on cardiovascular diseases,2017,,Decades-old renin inhibitors are still struggling to find a niche in antihypertensive therapy. A fleeting look at the old and the promising new molecules,2020,Bioorganic & Medicinal Chemistry
How well do aliskiren's purported mechanisms track its effects on cardiovascular and renal disorders?,2012,Cell Signal,Decades-old renin inhibitors are still struggling to find a niche in antihypertensive therapy. A fleeting look at the old and the promising new molecules,2020,Bioorganic & Medicinal Chemistry
